# BEAST v1.8.1, r6542
# Generated Wed Feb 11 17:06:25 GMT 2015 [seed=1423674359309]
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	clock.rate	CP1+2.treeLikelihood	CP3.treeLikelihood	coalescent
0	-33180.82544389027	-516.0946445907448	-32664.73079929953	534.2570249671875	100.0	2.0	2.0	0.2500000002	0.25	0.25	0.24999999979999998	0.5	0.5	1.0	1.0	0.004	-12810.800700407788	-19853.930098891742	-505.1274978760552
1000	-25152.06310050122	-731.7178471584853	-24420.345253342733	308.1693270629899	1005.8952797036869	2.055113320448463	2.095450000322928	0.2500000002	0.25	0.25	0.24999999979999998	0.5	0.4579067805363781	0.7043926632746238	1.5912146734507522	0.0014104149377584367	-9922.06619913719	-14498.27905420554	-718.0936282893075
2000	-22565.72867561017	-835.606692651269	-21730.121982958903	564.5235121033412	3226.0703034399703	2.402893783557123	2.095450000322928	0.24956359173527878	0.24591910440444364	0.25408089559555636	0.25043640826472124	0.48616859883265673	0.4579067805363781	0.7664156594593418	1.4671686810813163	3.9171537347346515E-4	-8827.016874272396	-12903.105108686508	-820.3578039024953
3000	-20136.658216149488	-755.4602872602062	-19381.197928889284	234.413169563508	1142.1395865104198	3.1780646322627635	2.1891020795336393	0.24956359173527878	0.24591910440444364	0.25408089559555636	0.25043640826472124	0.48616859883265673	0.4579067805363781	0.7645219209260963	1.4709561581478074	5.039051085629196E-4	-7931.034868792502	-11450.16306009678	-740.9744406085589
4000	-18426.772425505875	-685.820253882852	-17740.952171623023	108.87203658594865	469.0941808298736	3.2860316068761475	2.1891020795336393	0.26620758102330755	0.23151799422850713	0.24444211295145105	0.25783231179673427	0.40367226349496765	0.4579067805363781	0.7807915335630824	1.4384169328738352	9.667030261499695E-4	-7352.04736796501	-10388.904803658013	-672.520025428099
5000	-17132.465100904512	-659.5804601864949	-16472.884640718017	75.30229869052354	377.052280079375	3.2860316068761475	3.4283584479478915	0.2726728753385711	0.22505269991324361	0.24444211295145105	0.25783231179673427	0.31667893502501504	0.4579067805363781	0.7807915335630824	1.4384169328738352	0.0010727437134818195	-6953.245363504761	-9519.639277213257	-646.2569270092197
6000	-16639.01056077047	-629.1997576286481	-16009.810803141823	55.671504746723805	400.3954014806611	3.3787802492882912	3.4283584479478915	0.2726728753385711	0.21777984443439838	0.2517149684302963	0.25783231179673427	0.31667893502501504	0.4579067805363781	0.747500137406992	1.504999725186016	0.0013509954427393448	-6768.115205382808	-9241.695597759015	-615.870894984026
7000	-15796.88860275682	-588.6108055733392	-15208.277797183482	42.28203437578515	219.17052496980097	3.9881323220240077	3.8452556682324732	0.2726728753385711	0.21351602430707345	0.25597878855762124	0.25783231179673427	0.2468817735588604	0.4579067805363781	0.7402790719171995	1.519441856165601	0.0016694858873787994	-6408.399108060885	-8799.878689122597	-575.7785408901376
8000	-15089.246715215531	-584.3013877569189	-14504.945327458612	37.80744866397999	157.2590528596404	3.9881323220240077	3.8452556682324732	0.27768244271761083	0.21351602430707345	0.25597878855762124	0.25282274441769453	0.2468817735588604	0.46588330146947793	0.7402790719171995	1.519441856165601	0.001625114973756988	-6122.772356168178	-8382.172971290434	-571.7735266000186
9000	-14753.406917992841	-580.3033803512665	-14173.103537641575	40.74858180988316	172.69974948609268	3.9881323220240077	3.8452556682324732	0.2769593727053884	0.21351602430707345	0.25597878855762124	0.25354581442991697	0.2468817735588604	0.8604795152553422	0.6205241507895521	1.7589516984208957	0.0015743098677763975	-6041.812308221138	-8131.291229420437	-566.8791170443441
10000	-14296.723124934362	-561.6481240696423	-13735.07500086472	36.45552938219502	164.3528799187236	3.9881323220240077	3.8452556682324732	0.2769593727053884	0.21351602430707345	0.25597878855762124	0.25354581442991697	0.22897902618161312	0.9435804132556252	0.6448268664302765	1.710346267139447	0.0018135640856367567	-5874.215322315034	-7860.859678549686	-548.2043070957878
11000	-13882.52128010416	-558.5733212163358	-13323.947958887824	36.828632556057386	136.5961951248332	4.62824504806126	4.924139960909696	0.2769593727053884	0.2044038339906737	0.25597878855762124	0.26265800474631673	0.13925643986998434	1.1426575293766212	0.6183179950657971	1.7633640098684058	0.001622572855783754	-5701.461160152655	-7622.486798735168	-544.5331146629983
12000	-13331.531999177289	-555.2057014432952	-12776.326297733993	37.429725352712055	158.05688686534074	4.555921019951551	4.924139960909696	0.2769593727053884	0.2044038339906737	0.25597878855762124	0.26265800474631673	0.13925643986998434	1.1426575293766212	0.6183179950657971	1.7633640098684058	0.0016116148570140304	-5528.929063820872	-7247.3972339131205	-541.0377026848031
13000	-12998.736512892978	-544.6809932816047	-12454.055519611373	35.13220905909357	114.61134863325167	4.86115320700606	5.072354664691446	0.2769593727053884	0.2044038339906737	0.25597878855762124	0.26265800474631673	0.13925643986998434	1.5910031707638526	0.5571484793385921	1.8857030413228157	0.0015011717383970828	-5404.4890288865445	-7049.566490724828	-529.7788843795465
