# BEAST v1.8.1, r6542
# Generated Mon Feb 16 10:25:11 GMT 2015 [seed=1424082293563]
state	posterior	prior	likelihood	treeModel.rootHeight	exponential.popSize	exponential.growthRate	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	clock.rate	CP1+2.treeLikelihood	CP3.treeLikelihood	coalescent
0	-28558.22798098112	-435.5623680153101	-28122.665612965808	23.597344572551968	100.0	0.1	2.0	2.0	0.2500000002	0.25	0.25	0.24999999979999998	0.5	0.5	1.0	1.0	0.004	-10980.95867788036	-17141.706935085447	-425.2011812949227
1000	-22752.379994678664	-547.9052323793146	-22204.47476229935	26.591818460356482	232.97985133201536	0.043397472534477594	2.0	2.0	0.2543528246199789	0.25	0.25	0.24564717538002115	0.5	0.5	0.7361723846869613	1.5276552306260773	0.006427650396396597	-9065.141555805745	-13139.333206493604	-536.9854020898309
2000	-20834.93907037001	-542.8376468054172	-20292.101423564593	24.239282343964398	208.0764955872682	0.04623463522068341	2.0	2.0	0.2543528246199789	0.25	0.25	0.24564717538002115	0.43030860727693526	0.5	0.7551561918967103	1.4896876162065793	0.0048435589868379625	-8290.486752582816	-12001.614670981779	-532.4273244323623
3000	-19414.1020391112	-538.7577491772578	-18875.344289933942	25.326728247921015	241.48236050251458	0.04623463522068341	2.0	2.0	0.2543528246199789	0.25	0.25	0.24564717538002115	0.43030860727693526	0.5	0.7725231127548408	1.4549537744903185	0.003810812374737302	-7805.201425197322	-11070.142864736621	-528.2360805882201
4000	-18471.6936841967	-529.1813225331445	-17942.512361663554	23.42733443056016	262.548589640768	0.06093661684006216	2.0	2.0	0.2543528246199789	0.25	0.25	0.24564717538002115	0.3459584663548785	0.5483206288626088	0.7878704261397851	1.4242591477204298	0.003652810962924909	-7441.328920852873	-10501.183440810679	-518.4837402544819
5000	-17257.661167693506	-507.07278675237086	-16750.588380941135	20.57163438003892	247.0839324483003	0.09377563415916548	2.0	2.389646986084108	0.2543528246199789	0.25	0.25	0.24564717538002115	0.3459584663548785	0.5323122602569832	0.7116324245569948	1.5767351508860104	0.003962853744792958	-7053.736385394439	-9696.851995546696	-495.9648234108963
6000	-16561.124189991213	-505.19919299726206	-16055.924996993952	24.155170193476696	290.81424127222306	0.1179651190529575	2.0884125423040287	3.113986152365022	0.25869059154327234	0.24553524073789093	0.2501269923388156	0.24564717538002115	0.3075037413268444	0.5323122602569832	0.7148510711858407	1.5702978576283186	0.0034057941710260507	-6825.982716586726	-9229.942280407226	-493.4222935893054
7000	-15859.654516405193	-502.9533593335838	-15356.70115707161	25.070425275271834	332.6857270879566	0.1179651190529575	2.986626480454554	3.113986152365022	0.2635723627908015	0.24553524073789093	0.23677006345733517	0.2541223330139724	0.2606661093343846	0.6212738575785556	0.7148510711858407	1.5702978576283186	0.0033074026209476415	-6519.019810175916	-8837.681346895693	-490.61232251050234
8000	-15070.468228173717	-500.6341347794941	-14569.834093394224	36.238953114282225	275.14090836253104	0.1179651190529575	2.986626480454554	3.113986152365022	0.2635723627908015	0.24553524073789093	0.23677006345733517	0.2541223330139724	0.2124048996087846	0.6212738575785556	0.707551242458314	1.584897515083372	0.0026025566458153706	-6233.50422284541	-8336.329870548812	-488.4976932528669
9000	-14398.038490266012	-480.0695315518172	-13917.968958714195	26.391222272056538	215.9741252286564	0.1179651190529575	2.986626480454554	3.277720447680623	0.2635723627908015	0.239671289318926	0.2426340148763001	0.2541223330139724	0.2124048996087846	0.6212738575785556	0.707551242458314	1.584897515083372	0.0028343213445518388	-5969.731488753786	-7948.23746996041	-468.15167500744974
10000	-14050.70210288562	-467.8803434740774	-13582.821759411543	23.981248519986558	180.6196149194818	0.129810454055484	2.986626480454554	4.0758544029876145	0.2635723627908015	0.23944088794870866	0.24286441624651744	0.2541223330139724	0.2124048996087846	0.7304906962073321	0.7028280222485436	1.5943439555029129	0.0030008225618960095	-5901.443327484671	-7681.3784319268725	-455.5550013760705
11000	-13749.982389286775	-464.9222456577589	-13285.060143629016	25.15034149025052	161.3441739686537	0.129810454055484	2.986626480454554	4.0758544029876145	0.2635723627908015	0.23944088794870866	0.24286441624651744	0.2541223330139724	0.21482412956824035	0.8482417144792364	0.6301597796771132	1.7396804406457735	0.002999808868455576	-5803.276412819217	-7481.7837308098005	-452.4693039012606
12000	-13580.870842453629	-461.32562469179476	-13119.545217761834	23.795969211417376	191.9883483417876	0.13643163176051756	3.1374232041482104	4.0758544029876145	0.2635723627908015	0.23944088794870866	0.24286441624651744	0.2541223330139724	0.21482412956824035	0.8482417144792364	0.6652602190695702	1.6694795618608596	0.003062763723316286	-5758.573695293517	-7360.971522468317	-448.5806740413523
13000	-13477.182805630731	-453.5795714723945	-13023.603234158338	22.589947460041046	175.88743819932373	0.1337641099497732	3.1374232041482104	4.0758544029876145	0.26764862261405997	0.23944088794870866	0.23878815642325893	0.2541223330139724	0.21482412956824035	1.0921042387764854	0.581251267943462	1.837497464113076	0.0033681078215716995	-5719.705475313012	-7303.8977588453245	-440.490066479431
14000	-13286.431155006543	-448.75124420896134	-12837.679910797582	22.118684622043386	162.50377904221148	0.1337641099497732	4.271215825284292	4.0758544029876145	0.26764862261405997	0.23944088794870866	0.23878815642325893	0.2541223330139724	0.180397974183386	1.0921042387764854	0.6735862820658074	1.6528274358683852	0.003470491739449831	-5642.68433299403	-7194.995577803553	-435.4490764276462
15000	-13170.484093912655	-434.9413348650543	-12735.542759047601	19.06783858525771	102.87953008856883	0.1337641099497732	4.730796825187177	4.642673842863561	0.27670044555099854	0.23944088794870866	0.22973633348632033	0.2541223330139724	0.180397974183386	1.0921042387764854	0.6338222888589271	1.7323554222821458	0.0036375222289430358	-5613.491984574709	-7122.050774472892	-421.8001005752885
16000	-12840.153836094752	-423.8854906074733	-12416.268345487279	18.15426124221605	89.78523239892117	0.13306216724994427	5.66267632408131	6.1174231396871495	0.2812170102107895	0.2349243232889177	0.22973633348632033	0.2541223330139724	0.14889806265255215	1.4500289891193123	0.6193377784179037	1.7613244431641926	0.003997046208784379	-5476.356257117159	-6939.912088370119	-409.59385212026564
17000	-12750.365771836838	-418.88572605845155	-12331.480045778386	18.176659377995794	97.90745346960225	0.13306216724994427	6.71032495047587	6.938322409014285	0.2812170102107895	0.23095399706203604	0.233706659713202	0.2541223330139724	0.14889806265255215	1.4500289891193123	0.6158653765204085	1.768269246959183	0.004013091968358702	-5460.132741873307	-6871.347303905078	-404.0524125830612
18000	-12601.432457972245	-414.26331392792326	-12187.169144044321	17.277523790001332	87.71794479680615	0.12555136474939235	7.651933353045276	8.622920820886348	0.2812170102107895	0.23095399706203604	0.233706659713202	0.2541223330139724	0.14889806265255215	1.4500289891193123	0.6052749605930495	1.789450078813901	0.004148242975771283	-5397.698063704737	-6789.471080339585	-399.04462254087696
19000	-12533.49617334538	-414.35563500245655	-12119.140538342923	16.58462082404298	91.90071336410536	0.12555136474939235	7.651933353045276	8.622920820886348	0.2812170102107895	0.23095399706203604	0.22987280154558778	0.25795619118158664	0.14889806265255215	1.4500289891193123	0.6104076803318587	1.7791846393362827	0.004197224177162355	-5382.843470809199	-6736.297067533725	-399.08942124026373
20000	-12487.423614960899	-409.7543957333461	-12077.669219227553	15.28593030923317	60.14450799301478	0.08738633809747878	7.651933353045276	10.741852071532385	0.2812170102107895	0.22442655777752413	0.2364002408300997	0.25795619118158664	0.137155802268666	1.4500289891193123	0.5359300784659939	1.9281398430680121	0.0040548381966274746	-5359.697314487897	-6717.971904739657	-394.95447908905396
21000	-12448.03503564377	-408.71750272469876	-12039.31753291907	15.103471497159312	55.142880569201715	0.0898064341162598	7.651933353045276	10.741852071532385	0.2812170102107895	0.22023622043933277	0.23379088179798818	0.2647558875518895	0.11112026364955277	1.3297632643919108	0.566087242862227	1.867825514275546	0.004728577327689462	-5334.302760129046	-6705.014772790025	-394.24141203100334
22000	-12435.207278455706	-408.6869966539372	-12026.520281801768	15.251985160584043	78.99141821931956	0.13046883418442237	8.03222129708762	10.741852071532385	0.28316470009436445	0.22023622043933277	0.2318431919144132	0.2647558875518895	0.09951481500119802	1.3297632643919108	0.566087242862227	1.867825514275546	0.004167802707290034	-5329.431770827146	-6697.088510974623	-393.379762318925
23000	-12392.034768509548	-404.38189897635505	-11987.652869533193	15.067282856092053	75.87430865754052	0.13046883418442237	8.03222129708762	11.87769607851225	0.28316470009436445	0.22103849387101476	0.2310409184827312	0.2647558875518895	0.13040368987739914	1.3297632643919108	0.5409647009539171	1.9180705980921657	0.004092724760397626	-5321.829735510262	-6665.82313402293	-388.8620885315212
24000	-12284.377162381184	-404.95240750114306	-11879.424754880041	15.067282856092053	67.3327736937856	0.13046883418442237	8.03222129708762	11.87769607851225	0.28316470009436445	0.21245880015810567	0.2310409184827312	0.27333558126479857	0.13040368987739914	1.3297632643919108	0.5453651217971425	1.909269756405715	0.004230620827102946	-5280.517829082644	-6598.906925797396	-389.5495509810129
25000	-12254.456391493506	-402.2178824780714	-11852.238509015435	14.820714032315099	57.021699091547	0.11158360626126021	8.03222129708762	11.87769607851225	0.29199066776921645	0.20363283248325365	0.2310409184827312	0.27333558126479857	0.13040368987739914	1.3297632643919108	0.5520277250966797	1.8959445498066405	0.004232521250529279	-5259.087452430852	-6593.151056584584	-387.1862360327514
26000	-12262.036855507271	-403.91437554595586	-11858.122479961316	14.608756737721937	60.15655782728135	0.11158360626126021	8.03222129708762	12.913201100304871	0.29199066776921645	0.2096428946528319	0.22503085631315295	0.27333558126479857	0.13040368987739914	1.3297632643919108	0.612114211961892	1.775771576076216	0.004178612197492568	-5269.787516059416	-6588.334963901901	-388.66572947463817
27000	-12257.685403795464	-402.6920440894777	-11854.993359705986	14.618607911782235	70.10447166896854	0.12067888795003259	8.03222129708762	11.638803651368502	0.29199066776921645	0.2096428946528319	0.22503085631315295	0.27333558126479857	0.13040368987739914	1.3297632643919108	0.5692300485312721	1.8615399029374557	0.004271841898697682	-5268.994683548293	-6585.998676157692	-387.39335153389095
28000	-12260.508985289382	-402.72412197233365	-11857.784863317049	15.332655815059555	79.61794162077837	0.15039284494448638	8.03222129708762	11.638803651368502	0.29199066776921645	0.2096428946528319	0.21900773275471502	0.2793587048232365	0.12065208415632557	1.403551833097663	0.5474362705363048	1.9051274589273903	0.0040542446339532625	-5267.932636149342	-6589.852227167707	-386.85142939329705
29000	-12240.970547017976	-399.46075237987685	-11841.5097946381	14.86091600856248	77.54560109940223	0.1450255427770181	6.354291853451307	11.638803651368502	0.29199066776921645	0.2096428946528319	0.21900773275471502	0.2793587048232365	0.13925231384145104	1.4264769346946038	0.5547553596662992	1.8904892806674016	0.0041688126909660604	-5253.49572636641	-6588.014068271689	-383.9674850326017
30000	-12208.646638853397	-398.4017946961943	-11810.244844157203	14.56089089214283	82.38813303706084	0.1450255427770181	7.1736420203880895	13.243170097978158	0.29199066776921645	0.2096428946528319	0.21900773275471502	0.2793587048232365	0.17567245749729551	1.4264769346946038	0.5912524441513528	1.8174951116972944	0.0046528639689516395	-5234.672957854102	-6575.571886303102	-382.30644271853845
31000	-12203.330397919823	-396.9460018814493	-11806.384396038373	15.314499790223204	67.71545415540368	0.1450255427770181	7.1736420203880895	11.235242596044246	0.3008794416774064	0.2096428946528319	0.2101189588465251	0.2793587048232365	0.17567245749729551	1.516259879535208	0.5986194331813206	1.8027611336373586	0.004599962882630893	-5232.509574028048	-6573.874822010325	-381.1933023581359
32000	-12200.222241648551	-393.231338007835	-11806.990903640715	15.314499790223204	47.35067294629106	0.10455641361403081	8.031023003085101	11.235242596044246	0.3008794416774064	0.2096428946528319	0.2101189588465251	0.2793587048232365	0.12132786841624509	1.4734537588000016	0.6090467682622906	1.7819064634754185	0.004243928214416435	-5233.940282671723	-6573.050620968993	-378.299658798841
33000	-12183.085849154138	-390.468254353201	-11792.617594800937	15.660650234471111	40.65024406379263	0.10455641361403081	8.031023003085101	11.235242596044246	0.3037632846116865	0.2096428946528319	0.20723511591224494	0.2793587048232365	0.13050843361856646	1.4734537588000016	0.5232325573700818	1.9535348852598364	0.00442139824724345	-5226.452825917906	-6566.164768883031	-375.6642304549997
34000	-12174.275523310667	-387.2695376828956	-11787.005985627771	14.87790470845904	38.410090516389104	0.08559417973865738	8.031023003085101	12.838011448603538	0.3037632846116865	0.2096428946528319	0.20723511591224494	0.2793587048232365	0.13050843361856646	1.4734537588000016	0.5683115722169606	1.8633768555660788	0.004614795320560021	-5222.601036698509	-6564.404948929262	-372.4567871237875
