traits	Host	Region	lat	lon
ABR13964|Dom-ans|EasternAsia|A/duck/Hunan/15/2004|2004.074	Dom-ans	EasternAsia	28.112449	112.98381
ACN39417|Dom-ans|EasternAsia|A/duck/Hunan/1964/2007|2007.060	Dom-ans	EasternAsia	28.112449	112.98381
ADD10547|Dom-ans|EasternAsia|A/duck/Eastern_China/909/2009|2009.038	Dom-ans	EasternAsia	43.8854996	125.3764691
AEO52356|Dom-ans|EasternAsia|A/duck/Zhejiang/224/2011|2011.123	Dom-ans	EasternAsia	30.267443	120.152792
AER09583|Dom-ans|EasternAsia|A/duck/Korea/Cheonan/2010|2010.953	Dom-ans	EasternAsia	35.907757	127.766922
AGB84799|Dom-ans|EasternAsia|A/goose/Eastern_China/223/2008|2008.038	Dom-ans	EasternAsia	43.8854996	125.3764691
AGH30421|Dom-ans|EasternAsia|A/domestic_green-winged_teal/Hunan/3450/2006|2006.203	Dom-ans	EasternAsia	28.112449	112.98381
AGI02564|Dom-ans|EasternAsia|A/goose/Guangdong/08/2005|2005.038	Dom-ans	EasternAsia	23.132191	113.266531
AIK26442|Dom-ans|EasternAsia|A/duck/Sichuan/NCXN10/2014|2014.342	Dom-ans	EasternAsia	30.651652	104.075931
AJD78140|Dom-ans|EasternAsia|A/duck/Nanchang/9789/2013|2013.748	Dom-ans	EasternAsia	28.682892	115.858198
ABR13968|Dom-gal|EasternAsia|A/chicken/Hubei/14/2004|2004.074	Dom-gal	EasternAsia	30.546498	114.341862
ACN39419|Dom-gal|EasternAsia|A/chicken/Hubei/2856/2007|2007.077	Dom-gal	EasternAsia	30.546498	114.341862
ACN39422|Dom-gal|EasternAsia|A/chicken/Hunan/3157/2006|2006.912	Dom-gal	EasternAsia	28.112449	112.98381
AGG86722|Dom-gal|EasternAsia|A/chicken/Jiangsu/WJ/2009|2009.967	Dom-gal	EasternAsia	32.061707	118.763232
AGG86724|Dom-gal|EasternAsia|A/chicken/Shandong/k0603/2010|2010.436	Dom-gal	EasternAsia	36.66853	117.020359
AGI02565|Dom-gal|EasternAsia|A/chicken/Hong_Kong/369/2003|2003.871	Dom-gal	EasternAsia	22.396428	114.109497
AJD78128|Dom-gal|EasternAsia|A/quail/Nanchang/6631/2013|2013.748	Dom-gal	EasternAsia	28.682892	115.858198
BAM62340|Dom-gal|EasternAsia|A/chicken/Aichi/2/2011|2011.123	Dom-gal	EasternAsia	35.1801883	136.9065647
ADM26408|Wild-ans|EasternAsia|A/bar-headed_goose/Qinghai/2/2007|2007.367	Wild-ans	EasternAsia	36.620938	101.780251
AEA02258|Wild-ans|EasternAsia|A/mandarin_duck/Korea/K10-480/2010|2010.992	Wild-ans	EasternAsia	35.907757	127.766922
BAE48316|Wild-ans|EasternAsia|A/whooper_swan/Mongolia/3/05|2005.534	Wild-ans	EasternAsia	46.862496	103.846656
BAE96961|Wild-ans|EasternAsia|A/whooper_swan/Mongolia/2/06|2006.367	Wild-ans	EasternAsia	46.862496	103.846656
