# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Jun 27 09:18:38 BST 2022 [seed=1656317905495]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa1	kappa2	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-46237.1043628649	-97.36951381155183	-46139.73484905335	3.8431678529984152	2018.559571873029	18.450460657363195	1.0	0.0	2.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.001	0.0010000000000000005	-46139.73484905335	0.0	-100.59212373769208
1000	-45309.78312834046	-261.4524889232267	-45048.33063941723	2.7857535023915445	2019.6169862236359	25.785499518103183	2.3455845942188054	-0.8900077824157355	1.513946187752617	3.481612405957733	0.25652860827660356	0.23924098644185676	0.24886102462447812	0.25536938065706155	0.2403258622776532	5.072730939825027E-4	5.072730939825031E-4	-45048.33063941723	0.0	-262.98563724849
2000	-44901.85983874144	-272.0993479056774	-44629.76049083576	1.4933706175015817	2020.9093691085259	23.851621529998162	3.200947855782503	-0.04105087511375882	1.8396924440805644	7.069797254391025	0.2568933828776824	0.2314170019736572	0.24886102462447812	0.26282859052418234	0.14639790509798054	5.462068368895161E-4	5.462068368895163E-4	-44629.76049083576	0.0	-273.26169683858825
3000	-44293.3740307725	-266.8016631445688	-44026.57236762793	1.2524686120170287	2021.1502711140104	23.377815520944665	5.202499230388931	1.3361705403912114	1.6227272576232392	5.571404812474403	0.2680412015551845	0.20621314629217127	0.2374960891761966	0.28824956297644766	0.11094130329525588	5.417722476597816E-4	5.417722476597819E-4	-44026.57236762793	0.0	-266.7069230967007
4000	-44060.95125174859	-274.0830744658055	-43786.868177282784	1.253461115464131	2021.1492786105632	24.41920617937603	5.857966383107185	1.1090216807455269	1.5777367396305757	5.840791182663697	0.2719274340016934	0.21027633453548913	0.21633596762930238	0.3014602638335151	0.06602756202189305	5.36146929936121E-4	5.361469299361209E-4	-43786.868177282784	0.0	-274.13301444910377
5000	-43884.37797432056	-287.7713629453404	-43596.60661137522	1.2274571123835878	2021.175282613644	25.72073824524237	7.036990025534243	1.5517888018492978	2.1345619422949516	6.298263144703535	0.2838918041295977	0.19366932639763906	0.2155132499921485	0.3069256194806147	0.06256204221640982	4.46113628714693E-4	4.461136287146929E-4	-43596.60661137522	0.0	-286.8158656680688
6000	-43726.166614442845	-272.7882798427984	-43453.37833460005	1.1461773597709555	2021.2565623662565	23.571502028215487	11.357139767355392	3.231745720995055	1.8480935773086091	6.634057753012936	0.28921852795808956	0.1870285126584274	0.2155132499921485	0.30823970939133455	0.03882278060742965	4.8663234877242194E-4	4.8663234877242205E-4	-43453.37833460005	0.0	-269.7776866503398
7000	-43568.91027958745	-262.33438271283404	-43306.575896874616	1.0910753186276125	2021.3116644073998	22.007149183982733	13.772791130523148	3.696143646870406	2.073710445726728	5.990675394655522	0.28921852795808956	0.19333740094643945	0.200549812512756	0.316894258582715	0.03478617858582345	4.6982920075123915E-4	4.698292007512391E-4	-43306.575896874616	0.0	-258.73179584660255
8000	-43534.867376679096	-265.17790827239804	-43269.6894684067	1.0139643117053057	2021.3887754143223	22.30916305526856	19.997771273405288	4.403688343566264	2.5417470295945535	6.350516624247055	0.2917190069776586	0.1857410630243073	0.1986476314103248	0.32389229858770935	0.016935279402314877	4.6088929847932396E-4	4.608892984793238E-4	-43269.6894684067	0.0	-260.25533916137005
9000	-43522.100065119994	-269.87524038147956	-43252.224824738514	1.0211169837120364	2021.3816227423154	23.19119843166612	21.2324637263692	4.3760965010774555	2.476232500735763	7.672342528296262	0.29555286517332247	0.1850276254175749	0.19552721082139338	0.32389229858770935	0.030068248053799537	4.422719126161544E-4	4.4227191261615425E-4	-43252.224824738514	0.0	-264.60543706333823
10000	-43462.45577757899	-280.2723951440703	-43182.183382434916	1.1782441158942862	2021.224495610133	24.869274838680308	16.385089950326787	3.2391824828135265	2.063466392853993	6.462685290561697	0.2991276046337972	0.18384665957045843	0.19601611694764048	0.32100961884810403	0.03303666932751139	4.008587203795186E-4	4.008587203795187E-4	-43182.183382434916	0.0	-276.8056972741876
11000	-43427.18847870453	-287.2800977137798	-43139.908380990746	1.2249886313578355	2021.1777510946697	26.25502915846865	17.86471526937525	3.61803266101912	1.9103061682200135	4.528293874794858	0.2991276046337972	0.18384665957045843	0.1968947977459159	0.3201309380498286	0.05977951327918753	4.065585989859465E-4	4.0655859898594646E-4	-43139.908380990746	0.0	-283.8719890915069
12000	-43363.39843411823	-284.2965406539994	-43079.10189346423	1.2199541889675076	2021.18278553706	25.28471694171156	18.18608751913919	3.4161421856016507	1.7912941529344635	5.94279149713552	0.2998578605213795	0.1802065884928974	0.19417926004388528	0.32575629094183794	0.05706335358845669	4.15652056652857E-4	4.156520566528577E-4	-43079.10189346423	0.0	-280.7474939292377
13000	-43299.84814340493	-273.2318246387923	-43026.61631876614	1.1526469124919838	2021.2500928135355	23.08219483151194	14.910031744244288	3.7730168330891507	1.992786779096658	6.697511931391271	0.3034071760950353	0.1802065884928974	0.19059526283646708	0.32579097257560036	0.08237733186084363	4.5574631430466247E-4	4.557463143046625E-4	-43026.61631876614	0.0	-269.23076304331016
14000	-43264.8860948067	-276.0405456297036	-42988.845549177	1.0915726553670158	2021.3111670706605	23.621821605008428	23.463732195753952	4.3416451756077965	2.2871229620462468	6.604604185418162	0.2941974809045234	0.1841567594758661	0.19059526283646708	0.3310504967831436	0.10665027728795992	4.405101818555853E-4	4.4051018185558595E-4	-42988.845549177	0.0	-270.86598732394
15000	-43165.16709240599	-274.91834319622376	-42890.248749209764	0.9486664082281647	2021.4540733177994	23.431066348209317	30.55537115571068	5.511873326790374	2.4495811589467316	4.985975052882615	0.2941974809045234	0.18095507715966327	0.19810392724495576	0.3267435146908577	0.06261768902469193	4.045024266076619E-4	4.0450242660766185E-4	-42890.248749209764	0.0	-268.72977888109983
16000	-43140.23439970603	-271.376259361011	-42868.85814034502	0.9285500098106471	2021.4741897162169	22.680909272947037	33.310620493973204	5.686699971651379	2.521633040395427	5.792072895031287	0.298904788938748	0.18162807818043178	0.19810392724495576	0.32136320563586457	0.045358520249412816	4.200334929748551E-4	4.2003349297485543E-4	-42868.85814034502	0.0	-264.7276210804574
17000	-43095.87249430004	-263.5196811028635	-42832.352813197176	0.9418151952959567	2021.4609245307315	21.796543733827388	38.65887351501218	6.038745173386669	2.7363963334364483	6.199140733710761	0.2975973956646093	0.18162807818043178	0.19858054095259509	0.322193985202364	0.04617447212181212	4.4477614910454834E-4	4.4477614910454834E-4	-42832.352813197176	0.0	-256.2002841012292
18000	-43083.55427828923	-260.5609117734789	-42822.99336651575	0.8895899252046708	2021.5131498008227	21.281297696987664	49.37426167599109	6.6971973417723305	2.0997986195857665	5.774919232781573	0.2942081825951729	0.18162807818043178	0.19866242332163198	0.32550131590276354	0.0332519151728545	3.9300860074929924E-4	3.930086007492997E-4	-42822.99336651575	0.0	-252.68433986881695
19000	-43041.47057220857	-261.9370419198036	-42779.53353028877	0.9195266189378613	2021.4832131070896	21.326415881533485	41.59277302442577	6.191771200789514	2.0315489252452053	6.857082102165998	0.2944419681819733	0.1834129098567512	0.19866242332163198	0.3234826986396437	0.0465892230673261	4.103345463961862E-4	4.1033454639618583E-4	-42779.53353028877	0.0	-254.48429604917746
20000	-43010.48831349506	-257.6132744062262	-42752.87503908883	0.8596430410543614	2021.543096684973	20.666894026064533	50.84151617198051	7.3739441616749435	1.9521581181893986	5.5984189596178595	0.29173115244433967	0.18872735986083708	0.196543629071224	0.3229978586235994	0.06156244218788008	3.946719999765514E-4	3.9467199997655135E-4	-42752.87503908883	0.0	-249.07991931074173
21000	-43009.215069614394	-262.4836192293867	-42746.73145038501	0.8635066630549173	2021.5392330629725	21.321923085253097	37.1737425399562	6.2208286037017775	2.106005615448301	4.5807223372187735	0.2928734563032673	0.18872735986083708	0.19452141191327313	0.3238777719226227	0.04031261616747927	4.117853671764814E-4	4.1178536717648135E-4	-42746.73145038501	0.0	-255.68809174721332
22000	-43003.381789295236	-261.710363118521	-42741.67142617671	0.8667678679232366	2021.5359718581042	21.25197581182968	43.49320868259452	6.40526967957245	2.0732534748371387	5.568209325239767	0.29441059206400033	0.1820121379403893	0.19424873996592903	0.3293285300296815	0.038096871040831246	4.671862569002237E-4	4.671862569002237E-4	-42741.67142617671	0.0	-254.34930017397176
23000	-42956.42145550361	-255.80810853950348	-42700.613346964106	0.8280473212318122	2021.5746924047955	20.309586719192513	48.6748857471272	7.002036264795941	1.9986018195844684	5.1462310221873455	0.2945534071505728	0.18186932285381685	0.19424873996592903	0.3293285300296815	0.06235190310060661	4.8658224860696997E-4	4.8658224860697013E-4	-42700.613346964106	0.0	-247.84222933227457
24000	-42927.67796495993	-254.87274123983195	-42672.8052237201	0.8141274969423122	2021.5886122290851	20.170243508734075	49.427297969850756	7.088975392699823	2.0374672521478443	6.4242871135053825	0.2951056908615539	0.1825752107937079	0.1986770347169226	0.3236420636278158	0.07543579201600793	4.13530580712131E-4	4.135305807121305E-4	-42672.8052237201	0.0	-246.3944756962034
25000	-42929.388895501565	-254.639784670203	-42674.74911083136	0.8650981495089354	2021.5376415765186	20.406095335377483	90.99715075379918	8.493093004396266	2.457113013773547	5.631693270749921	0.293896566554175	0.1825752107937079	0.20228709776397863	0.3212411248881387	0.10105256667703329	4.5707908394198476E-4	4.570790839419849E-4	-42674.74911083136	0.0	-244.1550941685957
26000	-42920.96819832382	-259.0939311812726	-42661.87426714255	0.8488640367081669	2021.5538756893193	19.99457118834795	126.98552686845807	9.699965703256986	3.045563938276952	6.8148925326952074	0.29822992612059496	0.18222920149658517	0.19425290350140145	0.32528796888141864	0.06828940335262863	4.4324523314905577E-4	4.432452331490557E-4	-42661.87426714255	0.0	-246.62023481785172
27000	-42895.65393601533	-257.3631788067862	-42638.290757208546	0.8513698129827182	2021.5513699130447	20.60455770122664	73.46804180171382	8.099635388265378	3.71266348513001	10.958573994481993	0.2995983010933939	0.183926914764576	0.19425290350140145	0.32222188064062884	0.10522863040331899	3.9974797053526917E-4	3.9974797053526906E-4	-42638.290757208546	0.0	-245.8863339225562
28000	-42880.770926658326	-252.8907037493713	-42627.880222908956	0.8805600318523024	2021.522179694175	20.039316118261567	57.71475607532593	7.531000524185057	3.4822105521853985	6.758885642050733	0.29770236993802235	0.18701254400621642	0.19647929753652066	0.3188057885192408	0.09882785688161926	3.6100842825990715E-4	3.61008428259907E-4	-42627.880222908956	0.0	-243.127899541314
29000	-42853.43702236471	-252.71126152681305	-42600.7257608379	0.7534395114921769	2021.6493002145353	19.604855089336567	49.83535979915546	7.004277713028954	3.4295567128093403	7.1211858414861195	0.29886037517395947	0.1858545387702793	0.1906910809693499	0.32459400508641156	0.0957479332382052	4.3017088219866873E-4	4.301708821986689E-4	-42600.7257608379	0.0	-243.60397952789174
