traits	Place
France/PAR0235-2298|Paris|2022-03-06	Paris
France/PAR0225-2310|Paris|2022-03-07	Paris
France/PAR0243-2061|Paris|2022-03-01	Paris
France/PAR0239-2001|Paris|2022-02-28	Paris
England/LON0200-2022|London|2022-02-28	London
England/LON0209-2034|London|2022-02-28	London
France/PAR0247-2451|Paris|2022-03-14	Paris
France/PAR0229-2439|Paris|2022-03-14	Paris
France/PAR0230-2907|Paris|2022-04-29	Paris
France/PAR0248-2559|Paris|2022-03-23	Paris
France/PAR0242-2589|Paris|2022-03-25	Paris
England/BIR0131-2544|Birmingham|2022-03-21	Birmingham
England/BIR0144-2604|Birmingham|2022-03-25	Birmingham
England/BIR0138-2292|Birmingham|2022-03-06	Birmingham
England/BIR0125-2340|Birmingham|2022-03-08	Birmingham
England/LON0211-2388|London|2022-03-09	London
England/LON0215-2370|London|2022-03-09	London
England/LON0222-1428|London|2022-02-19	London
England/LON0217-1818|London|2022-02-25	London
England/LON0218-1161|London|2022-02-14	London
England/LON0207-2514|London|2022-03-17	London
England/LON0201-2679|London|2022-04-02	London
England/LON0210-2535|London|2022-03-21	London
England/SHE0112-2406|Sheffield|2022-03-11	Sheffield
England/SHE0116-2472|Sheffield|2022-03-14	Sheffield
England/SHE0123-1224|Sheffield|2022-02-15	Sheffield
England/SHE0117-1056|Sheffield|2022-02-13	Sheffield
England/SHE0121-2010|Sheffield|2022-02-28	Sheffield
England/SHE0108-1875|Sheffield|2022-02-26	Sheffield
England/SHE0104-2874|Sheffield|2022-04-21	Sheffield
England/SHE0120-726|Sheffield|2022-02-08	Sheffield
England/SHE0110-774|Sheffield|2022-02-09	Sheffield
England/SHE0109-567|Sheffield|2022-02-05	Sheffield
England/SHE0101-1473|Sheffield|2022-02-20	Sheffield
England/SHE0114-1404|Sheffield|2022-02-19	Sheffield
Scotland/ABE0044-2121|Aberdeen|2022-03-02	Aberdeen
Scotland/ABE0045-1698|Aberdeen|2022-02-23	Aberdeen
Scotland/ABE0048-1515|Aberdeen|2022-02-20	Aberdeen
Scotland/EDI0051-642|Edinburgh|2022-02-06	Edinburgh
Scotland/EDI0057-687|Edinburgh|2022-02-07	Edinburgh
Scotland/ABE0041-495|Aberdeen|2022-02-03	Aberdeen
Scotland/ABE0026-456|Aberdeen|2022-02-02	Aberdeen
Scotland/ABE0029-654|Aberdeen|2022-02-06	Aberdeen
Scotland/ABE0038-990|Aberdeen|2022-02-12	Aberdeen
Scotland/ABE0043-1077|Aberdeen|2022-02-13	Aberdeen
Scotland/ABE0039-1170|Aberdeen|2022-02-14	Aberdeen
Scotland/GLA0087-1947|Glasgow|2022-02-27	Glasgow
Scotland/GLA0084-2130|Glasgow|2022-03-02	Glasgow
Scotland/EDI0063-2427|Edinburgh|2022-03-13	Edinburgh
Scotland/EDI0062-2490|Edinburgh|2022-03-16	Edinburgh
Scotland/GLA0092-1389|Glasgow|2022-02-19	Glasgow
Scotland/GLA0077-1833|Glasgow|2022-02-25	Glasgow
Scotland/GLA0096-2478|Glasgow|2022-03-15	Glasgow
Scotland/EDI0050-2253|Edinburgh|2022-03-05	Edinburgh
Scotland/EDI0066-2151|Edinburgh|2022-03-02	Edinburgh
Scotland/GLA0094-2850|Glasgow|2022-04-17	Glasgow
Scotland/GLA0081-2673|Glasgow|2022-04-01	Glasgow
