traits	Country	Place	Lat	Lon
France/PAR0235-2298|Paris|2022-03-06	France	Paris	48.4647280693287	3.46152082511169
France/PAR0225-2310|Paris|2022-03-07	France	Paris	48.5320191151318	2.9332512056562
France/PAR0243-2061|Paris|2022-03-01	France	Paris	48.3033004708343	0.982240574207787
France/PAR0239-2001|Paris|2022-02-28	France	Paris	50.9398492251091	1.4540181816489
England/LON0200-2022|London|2022-02-28	UK	London	51.8	-0.09
England/LON0209-2034|London|2022-02-28	UK	London	50.77	0.1
France/PAR0247-2451|Paris|2022-03-14	France	Paris	48.9149211108552	2.17643860229618
France/PAR0229-2439|Paris|2022-03-14	France	Paris	48.3052769747075	2.85562813183104
France/PAR0230-2907|Paris|2022-04-29	France	Paris	49.6716197567464	1.39122074208894
France/PAR0248-2559|Paris|2022-03-23	France	Paris	49.6590083539316	1.64458708660138
France/PAR0242-2589|Paris|2022-03-25	France	Paris	48.9789945546042	2.9403580574022
England/BIR0131-2544|Birmingham|2022-03-21	UK	Birmingham	53.33	-3.42
England/BIR0144-2604|Birmingham|2022-03-25	UK	Birmingham	51.73	-1.98
England/BIR0138-2292|Birmingham|2022-03-06	UK	Birmingham	53.47	-3.01
England/BIR0125-2340|Birmingham|2022-03-08	UK	Birmingham	51.73	-1.98
England/LON0211-2388|London|2022-03-09	UK	London	50.8	-0.97
England/LON0215-2370|London|2022-03-09	UK	London	51.23	-0.17
England/LON0222-1428|London|2022-02-19	UK	London	51.8	-0.09
England/LON0217-1818|London|2022-02-25	UK	London	50.85	0.46
England/LON0218-1161|London|2022-02-14	UK	London	51.29	-0.85
England/LON0207-2514|London|2022-03-17	UK	London	50.97	-1.33
England/LON0201-2679|London|2022-04-02	UK	London	51.24	-0.58
England/LON0210-2535|London|2022-03-21	UK	London	51.66	0.06
England/SHE0112-2406|Sheffield|2022-03-11	UK	Sheffield	54.85	-1.47
England/SHE0116-2472|Sheffield|2022-03-14	UK	Sheffield	53.1	-2.02
England/SHE0123-1224|Sheffield|2022-02-15	UK	Sheffield	53.11	-1.26
England/SHE0117-1056|Sheffield|2022-02-13	UK	Sheffield	53.52	-2.58
England/SHE0121-2010|Sheffield|2022-02-28	UK	Sheffield	53.57	-1.49
England/SHE0108-1875|Sheffield|2022-02-26	UK	Sheffield	53.4	-2.24
England/SHE0104-2874|Sheffield|2022-04-21	UK	Sheffield	53.02	-1.35
England/SHE0120-726|Sheffield|2022-02-08	UK	Sheffield	53.52	-2.33
England/SHE0110-774|Sheffield|2022-02-09	UK	Sheffield	54.12	-1.52
England/SHE0109-567|Sheffield|2022-02-05	UK	Sheffield	53.68	-1.83
England/SHE0101-1473|Sheffield|2022-02-20	UK	Sheffield	53.65	-2.64
England/SHE0114-1404|Sheffield|2022-02-19	UK	Sheffield	54.97	-1.52
Scotland/ABE0044-2121|Aberdeen|2022-03-02	UK	Aberdeen	56.96	-2.21
Scotland/ABE0045-1698|Aberdeen|2022-02-23	UK	Aberdeen	57.14	-3.16
Scotland/ABE0048-1515|Aberdeen|2022-02-20	UK	Aberdeen	56.96	-2.21
Scotland/EDI0051-642|Edinburgh|2022-02-06	UK	Edinburgh	56.07	-3.46
Scotland/EDI0057-687|Edinburgh|2022-02-07	UK	Edinburgh	55.99	-3.51
Scotland/ABE0041-495|Aberdeen|2022-02-03	UK	Aberdeen	56.56	-2.61
Scotland/ABE0026-456|Aberdeen|2022-02-02	UK	Aberdeen	56.56	-2.61
Scotland/ABE0029-654|Aberdeen|2022-02-06	UK	Aberdeen	57.6	-3.62
Scotland/ABE0038-990|Aberdeen|2022-02-12	UK	Aberdeen	56.56	-2.61
Scotland/ABE0043-1077|Aberdeen|2022-02-13	UK	Aberdeen	56.96	-2.21
Scotland/ABE0039-1170|Aberdeen|2022-02-14	UK	Aberdeen	57.51	-1.86
Scotland/GLA0087-1947|Glasgow|2022-02-27	UK	Glasgow	54.72	-6.23
Scotland/GLA0084-2130|Glasgow|2022-03-02	UK	Glasgow	55.87	-3.99
Scotland/EDI0063-2427|Edinburgh|2022-03-13	UK	Edinburgh	54.08	-3.23
Scotland/EDI0062-2490|Edinburgh|2022-03-16	UK	Edinburgh	54.54	-3.59
Scotland/GLA0092-1389|Glasgow|2022-02-19	UK	Glasgow	55.78	-3.93
Scotland/GLA0077-1833|Glasgow|2022-02-25	UK	Glasgow	54.77	-6.6
Scotland/GLA0096-2478|Glasgow|2022-03-15	UK	Glasgow	54.57	-5.87
Scotland/EDI0050-2253|Edinburgh|2022-03-05	UK	Edinburgh	55.91	-3.5
Scotland/EDI0066-2151|Edinburgh|2022-03-02	UK	Edinburgh	55.07	-3.63
Scotland/GLA0094-2850|Glasgow|2022-04-17	UK	Glasgow	54.73	-5.8
Scotland/GLA0081-2673|Glasgow|2022-04-01	UK	Glasgow	55.87	-4.14
Scotland/GLA0083-2622|Glasgow|2022-03-30	UK	Glasgow	55.83	-4.5
England/CAM0184-1626|Cambridge|2022-02-22	UK	Cambridge	52.77	-0.39
England/CAM0185-1416|Cambridge|2022-02-19	UK	Cambridge	52.29	-0.6
Scotland/EDI0058-1242|Edinburgh|2022-02-16	UK	Edinburgh	55.93	-3.47
Scotland/EDI0069-1326|Edinburgh|2022-02-17	UK	Edinburgh	55.43	-2.8
France/PAR0231-2703|Paris|2022-04-04	France	Paris	48.2981033126006	1.27828946665401
France/PAR0227-2724|Paris|2022-04-05	France	Paris	49.6587832283942	2.66070208700958
England/BIR0134-2205|Birmingham|2022-03-04	UK	Birmingham	52.45	-1.2
England/BIR0146-2016|Birmingham|2022-02-28	UK	Birmingham	53.36	-2.75
England/BIR0139-2496|Birmingham|2022-03-16	UK	Birmingham	52.62	-1.95
England/BIR0142-2445|Birmingham|2022-03-14	UK	Birmingham	52.31	-1.94
England/BIR0137-1185|Birmingham|2022-02-15	UK	Birmingham	51.86	-2.24
Scotland/EDI0074-1596|Edinburgh|2022-02-22	UK	Edinburgh	56.02	-3.73
Scotland/EDI0067-1380|Edinburgh|2022-02-19	UK	Edinburgh	54.54	-3.59
Scotland/EDI0052-2841|Edinburgh|2022-04-14	UK	Edinburgh	55.98	-3.4
Scotland/EDI0055-417|Edinburgh|2022-02-01	UK	Edinburgh	54.54	-3.59
Scotland/EDI0064-546|Edinburgh|2022-02-04	UK	Edinburgh	54.08	-3.23
Scotland/GLA0075-1014|Glasgow|2022-02-13	UK	Glasgow	55.98	-4.06
Norway/OSL0010-114|Oslo|2022-01-15	Norway	Oslo	61.6371397092636	9.28924098871049
Norway/OSL0018-93|Oslo|2022-01-14	Norway	Oslo	62.1657992173213	10.3169639489968
Wales/CAR0157-2946|Cardiff|2022-05-28	UK	Cardiff	51.61	-3.66
Wales/CAR0155-2940|Cardiff|2022-05-23	UK	Cardiff	51.09	-4.06
Wales/CAR0160-2814|Cardiff|2022-04-12	UK	Cardiff	50.41	-4.22
Wales/CAR0169-2793|Cardiff|2022-04-10	UK	Cardiff	50.95	-2.5
Wales/CAR0158-2922|Cardiff|2022-04-30	UK	Cardiff	51.54	-3.37
Wales/CAR0151-2928|Cardiff|2022-05-01	UK	Cardiff	51.83	-3.02
Wales/CAR0168-2856|Cardiff|2022-04-17	UK	Cardiff	51.68	-3.9
Wales/CAR0165-2880|Cardiff|2022-04-21	UK	Cardiff	51.19	-2.55
Wales/CAR0152-2895|Cardiff|2022-04-27	UK	Cardiff	52.52	-3.3
Wales/CAR0174-2901|Cardiff|2022-04-28	UK	Cardiff	51.61	-2.96
Wales/CAR0153-2763|Cardiff|2022-04-08	UK	Cardiff	51.37	-2.14
Wales/CAR0159-2733|Cardiff|2022-04-06	UK	Cardiff	51.79	-3.99
Wales/CAR0154-2655|Cardiff|2022-04-01	UK	Cardiff	50.69	-3.25
Wales/CAR0161-2643|Cardiff|2022-03-31	UK	Cardiff	51.54	-2.42
Wales/CAR0167-2571|Cardiff|2022-03-24	UK	Cardiff	51.37	-2.14
England/BIR0135-2667|Birmingham|2022-04-01	UK	Birmingham	52.7	-2.04
England/CAM0175-2595|Cambridge|2022-03-25	UK	Cambridge	52.79	-0.18
England/CAM0187-822|Cambridge|2022-02-09	UK	Cambridge	52.65	1.75
