# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Jun 27 11:01:59 BST 2022 [seed=1656324105891]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa1	kappa2	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-46097.38757000616	-111.43486874467318	-45985.952701261485	1.4042491664506067	2020.9984905595768	12.190312304374917	1.0	2.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.001	9.999999999999998E-4	-45985.952701261485	0.0	-115.35062585137337
1000	-45239.69084056663	-237.53995832084755	-45002.15088224578	1.1466320339693545	2021.256107692058	18.177428082461695	2.416962842134778	2.328786141010499	7.497931132475729	0.25971318688692124	0.22357954405138938	0.2523535285360863	0.264353740525603	0.4486983041443998	7.999087571508978E-4	7.999087571508979E-4	-45002.15088224578	0.0	-238.9052870111256
2000	-44874.747669689474	-242.34880429279372	-44632.39886539668	0.9707599861672631	2021.4319797398603	17.656496446447427	3.1548062879242758	2.198721756459573	7.43017378969274	0.2678053300697142	0.21267692817057776	0.2465393640439606	0.27297837771574734	0.28835179168714714	7.980858535441446E-4	7.980858535441452E-4	-44632.39886539668	0.0	-243.83371627840833
3000	-44380.41583291229	-271.17644083892424	-44109.23939207337	1.6109396693425835	2020.791800056685	21.74132733087523	4.092112052548751	2.385026863667206	9.00786594745117	0.2928790912627808	0.2006652163065564	0.221267072618207	0.2851886198124557	0.1710775009574192	7.055994469869636E-4	7.055994469869634E-4	-44109.23939207337	0.0	-272.2120787287181
4000	-44151.04035021828	-284.7642203740452	-43866.276129844235	1.3553091481541104	2021.0474305778732	22.451639913132674	4.895408809087413	2.1884099540441615	7.0662377157160865	0.2779218934566381	0.20309423575739363	0.21671091652315558	0.3022729542628126	0.09451692831486042	5.879067092149734E-4	5.879067092149733E-4	-43866.276129844235	0.0	-286.21869509424386
5000	-43972.58073021337	-303.28117233568156	-43669.29955787769	1.3782445503619765	2021.0244951756654	25.406464750516385	5.568701868321157	2.1908777468830745	6.609291648664484	0.28024785740663544	0.19459293700303645	0.19952325249747888	0.3256359530928491	0.04877153184802847	5.245901294794789E-4	5.245901294794792E-4	-43669.29955787769	0.0	-304.77550117736445
6000	-43808.01402140397	-310.71712420419175	-43497.296897199776	1.658914828264366	2020.743824897763	27.923487171145354	4.44652952324305	2.6893471723164404	6.780330455138548	0.28024785740663544	0.19459293700303645	0.19952325249747888	0.3256359530928491	0.0490398976067486	3.941111977420842E-4	3.941111977420841E-4	-43497.296897199776	0.0	-312.13498008391656
7000	-43709.84117739057	-323.7267535670361	-43386.114423823536	2.050620514026834	2020.3521192120006	29.71421164105999	4.832287562324713	2.306168350651242	6.945602993272638	0.28126451202423586	0.19490401609624525	0.1995764072463023	0.3242550646332164	0.04151474519522612	3.8862824891191573E-4	3.886282489119153E-4	-43386.114423823536	0.0	-325.1798677062263
8000	-43603.80849902252	-325.33630698122204	-43278.4721920413	1.7881650162253304	2020.6145747098021	28.995325989436342	5.13321123772472	2.8867842447854253	6.583297147065686	0.2951205115095908	0.1848205101725629	0.1971487438361842	0.3229102344816619	0.022889578864868212	3.5359868581918605E-4	3.535986858191859E-4	-43278.4721920413	0.0	-326.61198659651797
9000	-43444.49406355986	-321.94842505085154	-43122.54563850901	1.3831700552449724	2021.0195696707824	27.602875973199225	6.067452082996697	2.141862075624249	6.897302970037568	0.29996565014761456	0.17997537153453916	0.19772174126062056	0.32233723705722556	0.021339592864307654	3.7392272771891096E-4	3.73922727718911E-4	-43122.54563850901	0.0	-323.2807109043531
